pl_name,hostname,default_flag,disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,target,predicted_label,predicted_proba
EPIC 201111557.01,EPIC 201111557,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,2.30183,0.00028,-0.0003,0.0,,,,,1.12,0.11,-0.08,0.0,0.0999,0.0098,-0.007,0.0,,,,,,,,,,,,,,,,,,1054.0,55.0,-55.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4616.52,82.36,-115.56,0.0,0.762602,0.053651,-0.037585,0.0,0.73,0.084105,-0.081044,0.0,-0.03,0.034,-0.034,0.0,[M/H],4.53679,0.075486,-0.090593,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289,97.1795,0.4642,-0.4598,11.727,0.046,-0.046,9.22,0.019,-0.019,11.3995,0.001307,-0.001307,2018-08-02,2018-08,2018-08-02,-1,1,0.87
EPIC 201127519.01,EPIC 201127519,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,6.17887,7e-05,-7e-05,0.0,,,,,8.84,0.14,-0.13,0.0,0.789,0.012,-0.012,0.0,,,,,,,,,,,,,,,,,,772.0,10.0,-10.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4719.28,100.72,-112.19,0.0,0.849432,0.053904,-0.052076,0.0,0.756,0.096466,-0.080306,0.0,0.213,0.041,-0.041,0.0,[M/H],4.45833,0.062492,-0.110798,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738,117.704,0.778,-0.767,11.733,0.046,-0.046,9.43,0.021,-0.021,11.4806,0.000478,-0.000478,2018-08-02,2018-08,2018-08-02,-1,1,0.98
EPIC 201352100.01,EPIC 201352100,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,13.38382,0.00116,-0.00114,0.0,,,,,2.7,0.17,-0.1,0.0,0.24,0.015,-0.009,0.0,,,,,,,,,,,,,,,,,,608.0,9.0,-9.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5113.71,102.61,-100.12,0.0,0.65973,0.034864,-0.034925,0.0,0.86,0.105443,-0.096745,0.0,0.192,0.037,-0.037,0.0,[M/H],4.73383,0.070764,-0.081435,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h16m08.43s,184.0351247,-01d40m25.54s,-1.6737612,194.195,3.666,-3.535,13.002,0.08,-0.08,10.708,0.021,-0.021,12.6813,0.000146,-0.000146,2018-08-02,2018-08,2018-08-02,-1,1,0.99
EPIC 201392505.01,EPIC 201392505,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,27.47083,0.01089,-0.01286,0.0,,,,,3.36,0.26,-0.18,0.0,0.3,0.023,-0.016,0.0,,,,,,,,,,,,,,,,,,480.0,7.0,-7.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4947.03,127.92,-127.97,0.0,0.749863,0.038988,-0.0685,0.0,0.81,0.120024,-0.083058,0.0,-0.2022,0.0838,-0.0838,0.0,[M/H],4.59659,0.090565,-0.096421,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h12m45.23s,183.188479,-01d04m29.39s,-1.0748315,273.773,6.33,-6.056,13.687,0.103,-0.103,11.282,0.026,-0.026,13.3313,0.00051,-0.00051,2018-08-02,2018-08,2018-08-02,-1,1,0.9
EPIC 201456770.01,EPIC 201456770,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,8.006875,0.001371,-0.001314,0.0,,,,,2.384,0.21,-0.189,0.0,0.2126866,0.01873498,-0.01686148,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,G8,5403.0,138.0,-138.0,0.0,0.846,0.056,-0.051,0.0,0.904,0.395,-0.272,0.0,-0.047,0.235,-0.235,0.0,[Fe/H],4.538,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h22m47.38s,185.6973984,-00d07m18.78s,-0.1218824,511.581,7.718,-7.718,14.285,0.172,-0.172,12.283,0.023,-0.023,13.9771,0.000269,-0.000269,2021-11-19,2021-12,2021-11-19,-1,1,0.93
EPIC 201541160.01,EPIC 201541160,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,15.695142,0.001569,-0.001715,0.0,,,,,2.028,0.195,-0.168,0.0,0.18092635,0.01739676,-0.01498798,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,K5,4270.0,138.0,-138.0,0.0,0.625,0.047,-0.043,0.0,0.743,0.339,-0.228,0.0,-0.315,0.235,-0.235,0.0,[Fe/H],4.719,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h52m14.18s,163.0590829,+01d09m17.23s,1.1547858,197.438,1.014,-1.005,14.263,0.08,-0.08,11.226,0.025,-0.025,13.7783,0.000292,-0.000292,2021-11-19,2021-12,2021-11-19,-1,1,0.97
EPIC 201639576.01,EPIC 201639576,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,7.655533,0.000682,-0.000589,0.0,,,,,2.328,0.196,-0.185,0.0,0.20769061,0.01748598,-0.01650462,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,K0,5114.0,138.0,-138.0,0.0,0.751,0.055,-0.05,0.0,1.004,0.455,-0.308,0.0,-0.144,0.235,-0.235,0.0,[Fe/H],4.687,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h04m14.49s,166.0603718,+02d39m20.84s,2.6557881,495.707,12.129,-11.572,14.699,0.069,-0.069,12.55,0.03,-0.03,14.4478,0.00033,-0.00033,2021-11-19,2021-12,2021-11-19,-1,1,0.81
EPIC 201920032.01,EPIC 201920032,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=SCHMITT_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151..159S/abstract target=ref>Schmitt et al. 2016</a>,28.2717,0.0141,-0.0139,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5564.0,95.12,-123.61,0.0,1.02594,0.058864,-0.044131,0.0,0.98,0.092038,-0.153491,0.0,-0.01,0.1,-0.1,0.0,[M/H],4.40705,0.073193,-0.075664,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h36m25.61s,174.1067018,+07d45m10.79s,7.7529977,399.976,8.063,-7.756,13.171,0.092,-0.092,11.364,0.025,-0.025,12.9033,0.000283,-0.000283,2016-06-09,2016-06,2016-06-09,-1,1,0.93
EPIC 205943325.01,EPIC 205943325,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,27.270191,0.003222,-0.003438,0.0,,,,,2.5,0.175,-0.167,0.0,0.22303545,0.01561248,-0.01489877,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,F8,6171.0,138.0,-138.0,0.0,1.612,0.101,-0.095,0.0,1.275,0.552,-0.389,0.0,-0.077,0.235,-0.235,0.0,[Fe/H],4.129,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h13m55.15s,333.4797735,-16d35m35.49s,-16.5931905,377.061,11.735,-11.059,11.535,0.021,-0.021,10.063,0.025,-0.025,11.2714,0.000506,-0.000506,2021-11-19,2021-12,2021-11-19,-1,1,0.75
EPIC 206461841.01,EPIC 206461841,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,10.4404,0.0007,-0.0011,0.0,0.0828,0.0034,-0.0035,0.0,0.6739,0.0394,-0.037,0.0,0.06012143,0.00351504,-0.00330092,0.0,,,,,,,,,,,,,,41.745,,,0.0,,,,,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,,4893.0,119.0,-119.0,0.0,0.746,0.047,-0.047,0.0,0.8,0.093,-0.093,0.0,0.04,0.048,-0.048,0.0,[Fe/H],4.596,0.09,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m14.59s,339.060796,-05d36m09.70s,-5.6026936,100.694,0.587,-0.579,11.055,0.017,-0.017,9.173,0.02,-0.02,11.2315,0.000795,-0.000795,2022-11-07,2022-10,2022-11-07,-1,1,0.82
EPIC 206543223.01,EPIC 206543223,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,17.80345864,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5561.99,83.1,-141.91,0.0,1.16413,0.071929,-0.040313,0.0,0.981,0.137668,-0.106219,0.0,-0.01,0.029,-0.029,0.0,[M/H],4.29773,0.102532,-0.046181,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h24m02.69s,336.0111971,-03d57m15.93s,-3.9544253,241.84,2.011,-1.978,11.815,0.046,-0.046,9.933,0.019,-0.019,11.6142,0.000283,-0.000283,2016-12-21,2016-10,2016-12-21,-1,1,0.91
EPIC 210418253.01,EPIC 210418253,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,23.9683,0.0044,-0.0013,0.0,0.1791,0.0046,-0.0046,0.0,1.6119,0.1413,-0.1343,0.0,0.14380433,0.01260596,-0.01198146,0.0,,,,,,,,,,,,,,28.046,,,0.0,,,,,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,,5296.0,138.0,-138.0,0.0,1.129,0.073,-0.067,0.0,1.325,0.59,-0.411,0.0,0.11,0.235,-0.235,0.0,[Fe/H],4.455,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h18m19.27s,64.5802782,+13d52m40.06s,13.8777944,217.647,1.95,-1.916,12.611,1.133,-1.133,9.828,0.018,-0.018,12.1482,0.000195,-0.000195,2022-11-07,2022-10,2022-11-07,-1,1,0.79
EPIC 210706310.01,EPIC 210706310,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,5.1718,0.0002,-0.0002,0.0,0.051,0.0024,-0.0029,0.0,0.8891,0.0529,-0.0443,0.0,0.07932033,0.00471943,-0.00395219,0.0,,,,,,,,,,,,,,391.097,,,0.0,,,,,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,,5941.0,138.0,-138.0,0.0,0.954,0.055,-0.052,0.0,0.709,0.304,-0.219,0.0,-0.252,0.081,-0.081,0.0,[Fe/H],4.328,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h57m30.09s,59.3753688,+18d27m12.77s,18.4535477,279.463,3.656,-3.564,12.074,0.049,-0.049,10.643,0.018,-0.018,12.306,0.000188,-0.000188,2022-11-07,2022-10,2022-11-07,-1,1,0.68
EPIC 210708830.01,EPIC 210708830,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,5.7408,0.0002,-0.0002,0.0,0.0627,0.0026,-0.0029,0.0,1.0668,0.0573,-0.0444,0.0,0.09517369,0.00511197,-0.00396111,0.0,,,,,,,,,,,,,,107.349,,,0.0,,,,,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,,5342.0,45.0,-45.0,0.0,0.76,0.018,-0.018,0.0,1.067,0.203,-0.173,0.0,0.015,0.043,-0.043,0.0,[Fe/H],4.704,0.074,-0.074,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h52m54.31s,58.2262717,+18d29m24.68s,18.4901888,264.527,2.282,-2.243,13.544,0.092,-0.092,11.137,0.018,-0.018,13.1907,0.000407,-0.000407,2022-11-07,2022-10,2022-11-07,-1,1,0.76
EPIC 210877025.01,EPIC 210877025,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,18.03895153,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5089.61,101.59,-118.04,0.0,0.88619,0.054427,-0.056005,0.0,0.853,0.079583,-0.117843,0.0,0.07,0.03,-0.03,0.0,[M/H],4.47396,0.079251,-0.090134,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h46m33.92s,56.6413292,+21d02m03.25s,21.0342354,252.985,2.622,-2.57,13.146,0.092,-0.092,10.718,0.016,-0.016,12.9307,0.000872,-0.000872,2016-12-21,2016-10,2016-12-21,-1,1,0.54
EPIC 210945680.01,EPIC 210945680,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,20.5949,0.0022,-0.001,0.0,0.1477,0.0047,-0.0046,0.0,1.5097,0.0741,-0.079,0.0,0.13468664,0.00661077,-0.00704792,0.0,,,,,,,,,,,,,,58.55,,,0.0,,,,,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,,5969.0,20.0,-20.0,0.0,1.059,0.018,-0.017,0.0,0.994,0.082,-0.075,0.0,0.115,0.017,-0.017,0.0,[Fe/H],4.386,0.031,-0.031,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h32m57.38s,53.2390995,+22d06m57.18s,22.1158827,227.124,2.692,-2.632,11.467,0.023,-0.023,9.905,0.02,-0.02,11.3102,0.000543,-0.000543,2022-11-07,2022-10,2022-11-07,-1,1,0.94
EPIC 210945680.01,EPIC 210945680,0,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,20.600656,0.003989,-0.006457,0.0,,,,,2.166,0.08,-0.081,0.0,0.19323791,0.00713713,-0.00722635,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,G2,5969.0,20.0,-20.0,0.0,1.059,0.018,-0.017,0.0,0.994,0.082,-0.075,0.0,0.115,0.017,-0.017,0.0,[Fe/H],4.386,0.031,-0.031,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h32m57.38s,53.2390995,+22d06m57.18s,22.1158827,227.124,2.692,-2.632,11.467,0.023,-0.023,9.905,0.02,-0.02,11.3102,0.000543,-0.000543,2021-11-19,2021-12,2021-11-19,-1,1,0.98
EPIC 210967369.01,EPIC 210967369,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,7.1149,0.0006,-0.0006,0.0,0.0589,0.0021,-0.0024,0.0,0.9835,0.0483,-0.0499,0.0,0.08774214,0.00430904,-0.00445179,0.0,,,,,,,,,,,,,,220.293,,,0.0,,,,,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,,5534.0,138.0,-138.0,0.0,0.953,0.058,-0.055,0.0,0.845,0.372,-0.252,0.0,0.32,0.071,-0.071,0.0,[Fe/H],4.411,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h31m44.54s,52.9355857,+22d27m35.61s,22.4598921,267.405,2.917,-2.856,12.601,0.057,-0.057,10.601,0.017,-0.017,12.4082,0.000189,-0.000189,2022-11-07,2022-10,2022-11-07,-1,1,0.71
EPIC 211309648.01,EPIC 211309648,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,3.1393226,3.25e-05,-3.16e-05,0.0,0.0434,0.0047,-0.0047,0.0,15.43,1.56,-1.56,0.0,1.37657477,0.13917412,-0.13917412,0.0,,,,,,,,,,,,,,,,,,1780.0,80.0,-74.0,0.0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,6283.0,235.0,-232.0,0.0,1.5,0.15,-0.12,0.0,1.24,0.1,-0.08,0.0,0.05,0.15,-0.16,0.0,[Fe/H],4.18,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h55m27.98s,133.8665993,+10d02m43.12s,10.0453099,910.734,29.796,-29.796,13.941,0.103,-0.103,12.194,0.028,-0.028,13.7991,0.000228,-0.000228,2022-04-19,2022-01,2022-04-19,-1,1,0.55
EPIC 211319779.01,EPIC 211319779,1,CANDIDATE,Castro-Gonz&aacute;lez et al. 2022,1,0,Transit,2022,K2,Published Candidate,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,13.8253157,0.0021214,-0.0020261,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,5163.0,161.0,-127.0,0.0,0.75,0.02,-0.02,0.0,0.78,0.04,-0.05,0.0,-0.2,0.14,-0.17,0.0,[Fe/H],4.58,0.02,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h28m37.08s,127.1544879,+10d14m58.16s,10.2494875,207.618,2.081,-2.041,12.876,0.046,-0.046,10.71,0.021,-0.021,12.6606,0.000224,-0.000224,2022-04-18,2022-01,2022-04-18,-1,1,0.96
EPIC 211321953.01,EPIC 211321953,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,22.194346,0.00747,-0.006219,0.0,,,,,3.174,0.296,-0.269,0.0,0.2831658,0.0264074,-0.02399861,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,G3,5660.0,138.0,-138.0,0.0,1.069,0.069,-0.064,0.0,0.806,0.357,-0.252,0.0,-0.441,0.198,-0.198,0.0,[Fe/H],4.283,0.151,-0.151,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m19.82s,128.8325692,+10d17m31.91s,10.2921986,640.961,12.203,-12.203,13.841,0.069,-0.069,12.222,0.024,-0.024,13.7611,0.000239,-0.000239,2021-11-19,2021-12,2021-11-19,-1,1,0.9
EPIC 211328748.01,EPIC 211328748,1,CANDIDATE,Pope et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,17.178,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5814.52,97.01,-120.92,0.0,1.33351,0.060262,-0.054688,0.0,1.046,0.125242,-0.129254,0.0,0.033,0.018,-0.018,0.0,[M/H],4.20761,0.083854,-0.057543,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m56.45s,130.2351918,+10d25m20.95s,10.4224863,147.997,1.183,-1.165,9.964,0.005,-0.005,8.626,0.024,-0.024,9.90987,0.000169,-0.000169,2016-07-18,2016-10,2016-07-18,-1,1,0.88
