pl_name,hostname,default_flag,disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,target,predicted_label,predicted_proba
EPIC 249649721.01,EPIC 249649721,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,24.481285,0.002247,-0.002197,0.0,,,,,2.49,0.211,-0.179,0.0,0.2221433,0.01882419,-0.01596934,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,K3,4861.0,138.0,-138.0,0.0,0.761,0.055,-0.048,0.0,1.001,0.443,-0.308,0.0,-0.028,0.235,-0.235,0.0,[Fe/H],4.674,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h46m04.69s,236.5195393,-19d52m54.20s,-19.8817214,354.044,3.946,-3.861,14.484,0.149,-0.149,11.864,0.024,-0.024,14.1364,0.000332,-0.000332,2021-11-19,2021-12,2021-11-19,-1,1,0.91
EPIC 249703125.01,EPIC 249703125,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,10.307387,0.000178,-0.000207,0.0,,,,,2.602,0.18,-0.16,0.0,0.23213529,0.01605855,-0.01427427,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,G8,5359.0,138.0,-138.0,0.0,0.875,0.058,-0.052,0.0,0.864,0.387,-0.263,0.0,0.08,0.235,-0.235,0.0,[Fe/H],4.491,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h30m33.07s,232.6377985,-19d11m20.39s,-19.1889985,299.694,2.847,-2.795,13.191,0.126,-0.126,11.063,0.026,-0.026,12.8925,0.000245,-0.000245,2021-11-19,2021-12,2021-11-19,-1,1,0.94
EPIC 249731291.02,EPIC 249731291,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,23.336739,0.004682,-0.003379,0.0,,,,,5.824,0.407,-0.387,0.0,0.51958337,0.03631017,-0.03452589,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,F7,6332.0,138.0,-138.0,0.0,2.356,0.156,-0.148,0.0,2.312,1.014,-0.71,0.0,-0.069,0.235,-0.235,0.0,[Fe/H],4.062,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h10m02.33s,227.5096887,-18d48m45.42s,-18.8126177,1127.47,43.89,-40.77,13.089,0.057,-0.057,11.601,0.026,-0.026,12.8871,0.000328,-0.000328,2021-11-19,2021-12,2021-11-19,-1,1,0.56
EPIC 249827330.01,EPIC 249827330,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,31.396001,0.002111,-0.001587,0.0,,,,,10.695,0.748,-0.728,0.0,0.95414563,0.06673221,-0.06494792,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,G3,5631.0,138.0,-138.0,0.0,1.783,0.115,-0.109,0.0,0.949,0.423,-0.289,0.0,-0.201,0.235,-0.235,0.0,[Fe/H],3.916,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h14m07.14s,228.5297306,-17d32m33.78s,-17.5427168,642.903,16.076,-15.324,13.092,0.069,-0.069,11.13,0.027,-0.027,12.7984,0.000378,-0.000378,2021-11-19,2021-12,2021-11-19,-1,1,0.7
EPIC 249828900.01,EPIC 249828900,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,18.277358,0.003153,-0.002637,0.0,,,,,1.933,0.179,-0.165,0.0,0.17245101,0.01596934,-0.01472034,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,K7,4280.0,138.0,-138.0,0.0,0.636,0.047,-0.043,0.0,0.732,0.327,-0.223,0.0,-0.29,0.235,-0.235,0.0,[Fe/H],4.696,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m41.09s,229.4212195,-17d31m21.90s,-17.5227493,295.939,2.91,-2.855,15.216,0.183,-0.183,12.073,0.024,-0.024,14.8236,0.000514,-0.000514,2021-11-19,2021-12,2021-11-19,-1,1,0.89
EPIC 249865296.01,EPIC 249865296,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,28.888589,0.001505,-0.001484,0.0,,,,,6.05,0.427,-0.379,0.0,0.53974578,0.03809445,-0.03381217,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,F2,6117.0,138.0,-138.0,0.0,1.319,0.088,-0.08,0.0,1.03,0.469,-0.314,0.0,-0.197,0.235,-0.235,0.0,[Fe/H],4.212,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h38m10.16s,234.5423454,-17d03m49.58s,-17.0637715,573.829,21.484,-20.01,13.067,0.137,-0.137,11.434,0.023,-0.023,12.8135,0.000269,-0.000269,2021-11-19,2021-12,2021-11-19,-1,1,0.71
EPIC 249883770.01,EPIC 249883770,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,2.228112,0.000198,-0.000213,0.0,,,,,1.398,0.136,-0.116,0.0,0.12472142,0.01213313,-0.01034884,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,K5,4355.0,138.0,-138.0,0.0,0.693,0.052,-0.047,0.0,0.785,0.342,-0.237,0.0,-0.324,0.235,-0.235,0.0,[Fe/H],4.651,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h37m11.03s,234.295942,-16d50m14.60s,-16.8373887,295.263,4.103,-3.995,14.778,0.149,-0.149,11.843,0.021,-0.021,14.4063,0.000307,-0.000307,2021-11-19,2021-12,2021-11-19,-1,1,0.9
EPIC 249901311.01,EPIC 249901311,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,0.801864,1.8e-05,-2.6e-05,0.0,,,,,1.433,0.06,-0.059,0.0,0.12784392,0.00535285,-0.00526364,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,M2,3594.0,138.0,-138.0,0.0,0.393,0.012,-0.012,0.0,0.384,0.017,-0.016,0.0,-0.095,0.235,-0.235,0.0,[Fe/H],4.834,0.033,-0.033,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h32m14.79s,233.0616398,-16d37m22.44s,-16.6228989,134.092,1.665,-1.625,17.12,0.2,-0.2,11.988,0.026,-0.026,15.5916,0.000588,-0.000588,2021-11-19,2021-12,2021-11-19,-1,1,0.9
EPIC 249921188.01,EPIC 249921188,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,17.562214,0.000393,-0.000396,0.0,,,,,12.272,0.866,-0.814,0.0,1.09483639,0.07725948,-0.07262034,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,G2,5873.0,138.0,-138.0,0.0,1.619,0.111,-0.104,0.0,1.306,0.589,-0.397,0.0,-0.233,0.235,-0.235,0.0,[Fe/H],4.136,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h46m32.26s,236.6344137,-16d23m20.46s,-16.3890166,1002.05,37.83,-35.215,14.198,0.092,-0.092,12.261,0.021,-0.021,13.922,0.000275,-0.000275,2021-11-19,2021-12,2021-11-19,-1,1,0.59
EPIC 250045116.01,EPIC 250045116,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,35.960194,0.005179,-0.005746,0.0,,,,,2.45,0.235,-0.216,0.0,0.21857474,0.02096533,-0.01927026,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,K7,4090.0,138.0,-138.0,0.0,0.672,0.051,-0.048,0.0,0.645,0.279,-0.204,0.0,-0.183,0.235,-0.235,0.0,[Fe/H],4.587,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h24m05.66s,231.0235725,-14d56m37.40s,-14.9437223,282.151,4.137,-4.021,15.462,0.137,-0.137,11.95,0.024,-0.024,14.7958,0.000512,-0.000512,2021-11-19,2021-12,2021-11-19,-1,1,0.88
